@timestamp,sid,description,classification,severity,protocol,sourceipport,destinationipport,Anomaly,Anomaly_Score
"Oct 25, 2022 @ 23:46:17.920",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48516,0,-0.015782627353427003
"Oct 25, 2022 @ 23:46:17.920",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48518,0,-0.015782627353427003
"Oct 25, 2022 @ 23:46:17.920",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48520,0,-0.013776907490841817
"Oct 25, 2022 @ 23:46:17.920",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48522,0,-0.012556879966790502
"Oct 25, 2022 @ 23:46:17.920",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48524,0,-0.015782627353427003
"Oct 25, 2022 @ 23:46:17.920",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48526,0,-0.015782627353427003
"Oct 25, 2022 @ 23:46:17.919",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48510,0,-0.013157601804204666
"Oct 25, 2022 @ 23:46:17.919",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48512,0,-0.013157601804204666
"Oct 25, 2022 @ 23:46:17.919",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48514,0,-0.013157601804204666
"Oct 25, 2022 @ 23:46:17.889",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48504,0,-0.015782627353427003
"Oct 25, 2022 @ 23:46:17.889",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48506,0,-0.015782627353427003
"Oct 25, 2022 @ 23:46:17.889",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48508,0,-0.015782627353427003
"Oct 25, 2022 @ 23:46:17.888",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48484,0,-0.015782627353427003
"Oct 25, 2022 @ 23:46:17.888",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48486,0,-0.015782627353427003
"Oct 25, 2022 @ 23:46:17.888",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48488,0,-0.015782627353427003
"Oct 25, 2022 @ 23:46:17.888",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48490,0,-0.015782627353427003
"Oct 25, 2022 @ 23:46:17.888",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48492,0,-0.015782627353427003
"Oct 25, 2022 @ 23:46:17.888",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48494,0,-0.015782627353427003
"Oct 25, 2022 @ 23:46:17.888",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48496,0,-0.015782627353427003
"Oct 25, 2022 @ 23:46:17.888",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48498,0,-0.015782627353427003
"Oct 25, 2022 @ 23:46:17.888",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48500,0,-0.015782627353427003
"Oct 25, 2022 @ 23:46:17.888",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48502,0,-0.015782627353427003
"Oct 25, 2022 @ 23:46:17.887",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48466,0,-0.015782627353427003
"Oct 25, 2022 @ 23:46:17.887",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48468,0,-0.015782627353427003
"Oct 25, 2022 @ 23:46:17.887",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48470,0,-0.015782627353427003
"Oct 25, 2022 @ 23:46:17.887",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48472,0,-0.015782627353427003
"Oct 25, 2022 @ 23:46:17.887",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48474,0,-0.015782627353427003
"Oct 25, 2022 @ 23:46:17.887",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48476,0,-0.015782627353427003
"Oct 25, 2022 @ 23:46:17.887",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48478,0,-0.015782627353427003
"Oct 25, 2022 @ 23:46:17.887",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48480,0,-0.015782627353427003
