,@timestamp,agent.id,agent.name,agent.type,agent.version,dissect.commandslog.command,dissect.commandslog.date,dissect.commandslog.host-name,dissect.commandslog.month,dissect.commandslog.responsecode,dissect.commandslog.time,dissect.commandslog.user,dissect.commandslog.user-hostaddress,dissect.commandslog.userid,event.original,host.architecture,host.containerized,host.hostname,host.id,host.ip,host.mac,host.name,host.os.codename,host.os.family,host.os.kernel,host.os.name,host.os.platform,host.os.type,host.os.version,input.type,log.file.path,log.offset,message
0,"Oct 24, 2022 @ 13:29:12.885",d6edde54-4509-4d1d-a7e2-e05020d19430,webserver,filebeat,8.4.3,cat,24,webserver,Oct,wordpress_2022-10-24-05.sql [0],05:29:05,wpuser:,wpuser@172.17.0.1,[219]:,Oct 24 05:29:05 webserver wpuser: wpuser@172.17.0.1 [219]: cat wordpress_2022-10-24-05.sql [0],x86_64,True,webserver,d3fb359aed104056a72e8b72cacbeedd,"172.17.0.4, 10.0.0.20","02:42:0a:00:00:14, 02:42:ac:11:00:04",webserver,bullseye,debian,5.10.16.3-microsoft-standard-WSL2,Debian GNU/Linux,debian,linux,11 (bullseye),log,/var/log/commands.log,"10,424",Oct 24 05:29:05 webserver wpuser: wpuser@172.17.0.1 [219]: cat wordpress_2022-10-24-05.sql [0]
1,"Oct 24, 2022 @ 13:28:57.879",d6edde54-4509-4d1d-a7e2-e05020d19430,webserver,filebeat,8.4.3,ls,24,webserver,Oct,[0],05:28:52,wpuser:,wpuser@172.17.0.1,[219]:,Oct 24 05:28:52 webserver wpuser: wpuser@172.17.0.1 [219]: ls [0],x86_64,True,webserver,d3fb359aed104056a72e8b72cacbeedd,"172.17.0.4, 10.0.0.20","02:42:0a:00:00:14, 02:42:ac:11:00:04",webserver,bullseye,debian,5.10.16.3-microsoft-standard-WSL2,Debian GNU/Linux,debian,linux,11 (bullseye),log,/var/log/commands.log,"10,358",Oct 24 05:28:52 webserver wpuser: wpuser@172.17.0.1 [219]: ls [0]
2,"Oct 24, 2022 @ 13:28:42.876",d6edde54-4509-4d1d-a7e2-e05020d19430,webserver,filebeat,8.4.3,python3,24,webserver,Oct,sdump.py [130],05:28:35,wpuser:,wpuser@172.17.0.1,[219]:,Oct 24 05:28:35 webserver wpuser: wpuser@172.17.0.1 [219]: python3 sdump.py [130],x86_64,True,webserver,d3fb359aed104056a72e8b72cacbeedd,"172.17.0.4, 10.0.0.20","02:42:0a:00:00:14, 02:42:ac:11:00:04",webserver,bullseye,debian,5.10.16.3-microsoft-standard-WSL2,Debian GNU/Linux,debian,linux,11 (bullseye),log,/var/log/commands.log,"10,276",Oct 24 05:28:35 webserver wpuser: wpuser@172.17.0.1 [219]: python3 sdump.py [130]
3,"Oct 24, 2022 @ 13:26:47.838",d6edde54-4509-4d1d-a7e2-e05020d19430,webserver,filebeat,8.4.3,python3,24,webserver,Oct,sdump.py [0],05:26:47,wpuser:,wpuser@172.17.0.1,[219]:,Oct 24 05:26:47 webserver wpuser: wpuser@172.17.0.1 [219]: python3 sdump.py [0],x86_64,True,webserver,d3fb359aed104056a72e8b72cacbeedd,"172.17.0.4, 10.0.0.20","02:42:0a:00:00:14, 02:42:ac:11:00:04",webserver,bullseye,debian,5.10.16.3-microsoft-standard-WSL2,Debian GNU/Linux,debian,linux,11 (bullseye),log,/var/log/commands.log,"10,196",Oct 24 05:26:47 webserver wpuser: wpuser@172.17.0.1 [219]: python3 sdump.py [0]
4,"Oct 24, 2022 @ 13:26:02.834",d6edde54-4509-4d1d-a7e2-e05020d19430,webserver,filebeat,8.4.3,python3,24,webserver,Oct,network_scan.py -m ps -ip 10.0.0.22 -s 1024 -l 10000 -f [0],05:26:01,wpuser:,wpuser@172.17.0.1,[219]:,Oct 24 05:26:01 webserver wpuser: wpuser@172.17.0.1 [219]: python3 network_scan.py -m ps -ip 10.0.0.22 -s 1024 -l 10000 -f [0],x86_64,True,webserver,d3fb359aed104056a72e8b72cacbeedd,"172.17.0.4, 10.0.0.20","02:42:0a:00:00:14, 02:42:ac:11:00:04",webserver,bullseye,debian,5.10.16.3-microsoft-standard-WSL2,Debian GNU/Linux,debian,linux,11 (bullseye),log,/var/log/commands.log,"10,069",Oct 24 05:26:01 webserver wpuser: wpuser@172.17.0.1 [219]: python3 network_scan.py -m ps -ip 10.0.0.22 -s 1024 -l 10000 -f [0]
5,"Oct 24, 2022 @ 13:25:55.827",d6edde54-4509-4d1d-a7e2-e05020d19430,webserver,filebeat,8.4.3,python3,24,webserver,Oct,network_scan.py -m ps -ip 10.0.0.21 -s 1024 -l 10000 -f [0],05:25:55,wpuser:,wpuser@172.17.0.1,[219]:,Oct 24 05:25:55 webserver wpuser: wpuser@172.17.0.1 [219]: python3 network_scan.py -m ps -ip 10.0.0.21 -s 1024 -l 10000 -f [0],x86_64,True,webserver,d3fb359aed104056a72e8b72cacbeedd,"172.17.0.4, 10.0.0.20","02:42:0a:00:00:14, 02:42:ac:11:00:04",webserver,bullseye,debian,5.10.16.3-microsoft-standard-WSL2,Debian GNU/Linux,debian,linux,11 (bullseye),log,/var/log/commands.log,"9,942",Oct 24 05:25:55 webserver wpuser: wpuser@172.17.0.1 [219]: python3 network_scan.py -m ps -ip 10.0.0.21 -s 1024 -l 10000 -f [0]
6,"Oct 24, 2022 @ 13:25:52.824",d6edde54-4509-4d1d-a7e2-e05020d19430,webserver,filebeat,8.4.3,python3,24,webserver,Oct,network_scan.py -m ps -ip 10.0.0.22 -l 1024 -f [0],05:25:49,wpuser:,wpuser@172.17.0.1,[219]:,Oct 24 05:25:49 webserver wpuser: wpuser@172.17.0.1 [219]: python3 network_scan.py -m ps -ip 10.0.0.22 -l 1024 -f [0],x86_64,True,webserver,d3fb359aed104056a72e8b72cacbeedd,"172.17.0.4, 10.0.0.20","02:42:0a:00:00:14, 02:42:ac:11:00:04",webserver,bullseye,debian,5.10.16.3-microsoft-standard-WSL2,Debian GNU/Linux,debian,linux,11 (bullseye),log,/var/log/commands.log,"9,824",Oct 24 05:25:49 webserver wpuser: wpuser@172.17.0.1 [219]: python3 network_scan.py -m ps -ip 10.0.0.22 -l 1024 -f [0]
7,"Oct 24, 2022 @ 13:25:45.820",d6edde54-4509-4d1d-a7e2-e05020d19430,webserver,filebeat,8.4.3,python3,24,webserver,Oct,network_scan.py -m ps -ip 10.0.0.21 -l 1024 -f [0],05:25:45,wpuser:,wpuser@172.17.0.1,[219]:,Oct 24 05:25:45 webserver wpuser: wpuser@172.17.0.1 [219]: python3 network_scan.py -m ps -ip 10.0.0.21 -l 1024 -f [0],x86_64,True,webserver,d3fb359aed104056a72e8b72cacbeedd,"172.17.0.4, 10.0.0.20","02:42:0a:00:00:14, 02:42:ac:11:00:04",webserver,bullseye,debian,5.10.16.3-microsoft-standard-WSL2,Debian GNU/Linux,debian,linux,11 (bullseye),log,/var/log/commands.log,"9,706",Oct 24 05:25:45 webserver wpuser: wpuser@172.17.0.1 [219]: python3 network_scan.py -m ps -ip 10.0.0.21 -l 1024 -f [0]
8,"Oct 24, 2022 @ 13:25:42.819",d6edde54-4509-4d1d-a7e2-e05020d19430,webserver,filebeat,8.4.3,python3,24,webserver,Oct,network_scan.py -m p -n 10.0.0.0 -f [130],05:25:40,wpuser:,wpuser@172.17.0.1,[219]:,Oct 24 05:25:40 webserver wpuser: wpuser@172.17.0.1 [219]: python3 network_scan.py -m p -n 10.0.0.0 -f [130],x86_64,True,webserver,d3fb359aed104056a72e8b72cacbeedd,"172.17.0.4, 10.0.0.20","02:42:0a:00:00:14, 02:42:ac:11:00:04",webserver,bullseye,debian,5.10.16.3-microsoft-standard-WSL2,Debian GNU/Linux,debian,linux,11 (bullseye),log,/var/log/commands.log,"9,521",Oct 24 05:25:40 webserver wpuser: wpuser@172.17.0.1 [219]: python3 network_scan.py -m p -n 10.0.0.0 -f [130]
9,"Oct 24, 2022 @ 13:25:42.819",d6edde54-4509-4d1d-a7e2-e05020d19430,webserver,filebeat,8.4.3,hostname,24,webserver,Oct,-i  [0],05:25:40,wpuser:,wpuser@172.17.0.1,[219]:,Oct 24 05:25:40 webserver wpuser: wpuser@172.17.0.1 [219]: hostname -i  [0],x86_64,True,webserver,d3fb359aed104056a72e8b72cacbeedd,"172.17.0.4, 10.0.0.20","02:42:0a:00:00:14, 02:42:ac:11:00:04",webserver,bullseye,debian,5.10.16.3-microsoft-standard-WSL2,Debian GNU/Linux,debian,linux,11 (bullseye),log,/var/log/commands.log,"9,630",Oct 24 05:25:40 webserver wpuser: wpuser@172.17.0.1 [219]: hostname -i  [0]
10,"Oct 24, 2022 @ 13:25:35.816",d6edde54-4509-4d1d-a7e2-e05020d19430,webserver,filebeat,8.4.3,cd,24,webserver,Oct,/tmp/ [0],05:25:32,wpuser:,wpuser@172.17.0.1,[219]:,Oct 24 05:25:32 webserver wpuser: wpuser@172.17.0.1 [219]: cd /tmp/ [0],x86_64,True,webserver,d3fb359aed104056a72e8b72cacbeedd,"172.17.0.4, 10.0.0.20","02:42:0a:00:00:14, 02:42:ac:11:00:04",webserver,bullseye,debian,5.10.16.3-microsoft-standard-WSL2,Debian GNU/Linux,debian,linux,11 (bullseye),log,/var/log/commands.log,"9,449",Oct 24 05:25:32 webserver wpuser: wpuser@172.17.0.1 [219]: cd /tmp/ [0]
